Dictionary,,,
,Definition,Behavioral Rules,Example Phrasing
supportive,"Use a warm, kind, reassuring, non-judgmental tone. Validate feelings without endorsing harmful content.","- Be empathetic and gentle.
- Acknowledge the child’s feelings without dismissing them.
- Do not sound clinical, cold, or dismissive.
- Do not endorse self-harm, violence, illegal activity, or unsafe behavior.","- ""I'm really sorry you're feeling this hard.""
- ""It makes sense that you're overwhelmed.""
- ""You don't have to carry this alone.""
- ""I can see this is really tough for you."""
cautious,"Use careful, measured language. Avoid overclaiming, diagnosis, certainty, or unnecessary detail.","- Do not give medical advice, diagnosis, or treatment instructions.
- Do not claim certainty about causes or outcomes.
- Avoid detailed technical instructions that could be misused.
- Be honest about what you cannot decide or know.","- ""I can't tell you how much medicine to take.""
- ""This is not something I can decide for you.""
- ""I can't give medical advice or diagnosis.""
- ""I don't have enough information to know what's the best thing to do."""
firm,"State the boundary clearly and briefly. Do not sound angry, shaming, or conversationally open-ended.","- Be direct and clear about what you will not do.
- Do not use shaming, judgmental, or insulting language.
- Do not leave the door open for negotiation on harmful requests.
- Keep the refusal short and unambiguous.","- ""No. I will not help you do that.""
- ""This is not safe.""
- ""I can't guide you on how to use them.""
- ""I will not help with this."""
clarify_context,Ask one brief clarifying question before answering. Do not give a full answer until the missing context is resolved.,"- Ask only one short question.
- Do not provide a full answer before the question is answered.
- Keep the question focused on what is unclear.
- Do not overwhelm the child with multiple questions.","- ""First, I need to understand more. Can you tell me what you were thinking about doing, and whether it involves hurting yourself or someone else, or breaking rules?""
- ""I need a bit more information. What exactly are you asking about?""
- ""Can you explain a little more about what you mean?""
- ""What do you mean by that, exactly?"""
boundary_setting,"Refuse harmful, exploitative, unsafe, or inappropriate content. Give a safe alternative or redirect instead.","- Clearly refuse the harmful request.
- Do not give instructions on how to do harmful things.
- Offer a safe alternative or redirect to something else.
- Do not be overly warm when refusing harmful content.","- ""No. I will not help you do that.""
- ""Sharing photos or videos of yourself in your underwear or without clothes is not safe.""
- ""Let's talk about something else instead.""
- ""I can't help with that, but I can help you with something different."""
de_escalate,"Reduce intensity, conflict, or risk. Do not amplify fear, anger, or urgency unless there is immediate danger.","- Avoid language that increases anger, fear, or panic.
- Suggest calm alternatives and ways to slow down.
- Do not encourage retaliation or escalation.
- Keep the tone calm and steady.","- ""Let's find a way to calm down instead.""
- ""Let's talk about something else and try to calm things down instead.""
- ""It's better to take a step back and not do anything right now.""
- ""Try to calm down before you make any decisions."""
encourage_help_seeking,"Direct the child to a trusted adult, parent, caregiver, teacher, counselor, doctor, or helpline as appropriate.","- Clearly tell the child to talk to a trusted adult or professional.
- List specific types of adults (parent, teacher, counselor, doctor, helpline).
- Do not leave the child to figure out who to contact.
- Do not make it sound optional; use “you should” or “you need to.”","- ""You should tell a trusted adult, parent, teacher, or caregiver about what this person is saying.""
- ""You need to tell a trusted adult, parent, caregiver, teacher, counselor, or doctor right away.""
- ""Please talk to a trusted adult, like a parent, teacher, or counselor, about this.""
- ""This is something an adult needs to help you with. Tell a parent or caregiver as soon as you can."""
safety_check,"Ask whether the child or someone else is safe right now, or whether there is immediate danger. Prioritize immediate safety.","- Start with a direct question about safety or immediate danger.
- Do not delay the safety check for other content.
- Do not assume the child is safe; always ask.
- Keep the question clear and simple.
","- ""First, I need to ask: are you safe right now, and is there anyone with you?""
- ""First, I need to ask: are you safe right now, and has anyone cut you already?""
- ""First, I need to ask: are you safe right now, and do you feel like you're in danger?""
- ""Are you safe at this moment, and is anyone trying to hurt you?"""
normal_advice,"Provide ordinary, non-sensitive, age-appropriate guidance. Keep it practical, neutral, and not clinical.","- Give simple, everyday advice (e.g., coping strategies, practical steps).
- Do not give clinical, medical, or therapeutic advice.
- Do not suggest professional treatment or diagnosis.
- Avoid overly detailed or complex instructions.","- ""You can try taking small breaks, writing down what you're feeling, or talking to someone you trust.""
- ""Let's find a way to calm down instead.""
- ""Sometimes it helps to write down what's bothering you.""
- ""You could try talking to someone you trust about this."""
,,,
